[progress][seq] epoca=590 | epoche_rimanenti_prima_stop=334 | tempo_trascorso=85.2s | tempo_rimanente=214.8s | best_cost=8964.972
[progress][seq] epoca=600 | epoche_rimanenti_prima_stop=324 | tempo_trascorso=86.7s | tempo_rimanente=213.3s | best_cost=8964.972
[progress][seq] epoca=610 | epoche_rimanenti_prima_stop=314 | tempo_trascorso=88.1s | tempo_rimanente=211.9s | best_cost=8964.972
[progress][seq] epoca=620 | epoche_rimanenti_prima_stop=304 | tempo_trascorso=89.6s | tempo_rimanente=210.4s | best_cost=8964.972
[progress][seq] epoca=630 | epoche_rimanenti_prima_stop=294 | tempo_trascorso=91.0s | tempo_rimanente=209.0s | best_cost=8964.972
[progress][seq] epoca=640 | epoche_rimanenti_prima_stop=284 | tempo_trascorso=92.5s | tempo_rimanente=207.5s | best_cost=8964.972
[progress][seq] epoca=650 | epoche_rimanenti_prima_stop=274 | tempo_trascorso=93.9s | tempo_rimanente=206.1s | best_cost=8964.972
[progress][seq] epoca=660 | epoche_rimanenti_prima_stop=264 | tempo_trascorso=95.3s | tempo_rimanente=204.7s | best_cost=8964.972
[progress][seq] epoca=670 | epoche_rimanenti_prima_stop=254 | tempo_trascorso=96.8s | tempo_rimanente=203.2s | best_cost=8964.972
[progress][seq] epoca=680 | epoche_rimanenti_prima_stop=244 | tempo_trascorso=98.2s | tempo_rimanente=201.8s | best_cost=8964.972
[progress][seq] epoca=690 | epoche_rimanenti_prima_stop=234 | tempo_trascorso=99.7s | tempo_rimanente=200.3s | best_cost=8964.972
[progress][seq] epoca=700 | epoche_rimanenti_prima_stop=224 | tempo_trascorso=101.1s | tempo_rimanente=198.9s | best_cost=8964.972
[progress][seq] epoca=710 | epoche_rimanenti_prima_stop=214 | tempo_trascorso=102.6s | tempo_rimanente=197.4s | best_cost=8964.972
[progress][seq] epoca=720 | epoche_rimanenti_prima_stop=204 | tempo_trascorso=104.0s | tempo_rimanente=196.0s | best_cost=8964.972
[progress][seq] epoca=730 | epoche_rimanenti_prima_stop=194 | tempo_trascorso=105.5s | tempo_rimanente=194.5s | best_cost=8964.972
[progress][seq] epoca=740 | epoche_rimanenti_prima_stop=184 | tempo_trascorso=106.9s | tempo_rimanente=193.1s | best_cost=8964.972
[progress][seq] epoca=750 | epoche_rimanenti_prima_stop=174 | tempo_trascorso=108.4s | tempo_rimanente=191.6s | best_cost=8964.972
[progress][seq] epoca=760 | epoche_rimanenti_prima_stop=164 | tempo_trascorso=109.8s | tempo_rimanente=190.2s | best_cost=8964.972
[progress][seq] epoca=770 | epoche_rimanenti_prima_stop=154 | tempo_trascorso=111.2s | tempo_rimanente=188.8s | best_cost=8964.972
[progress][seq] epoca=780 | epoche_rimanenti_prima_stop=144 | tempo_trascorso=112.7s | tempo_rimanente=187.3s | best_cost=8964.972
[progress][seq] epoca=790 | epoche_rimanenti_prima_stop=134 | tempo_trascorso=114.1s | tempo_rimanente=185.9s | best_cost=8964.972
[progress][seq] epoca=800 | epoche_rimanenti_prima_stop=124 | tempo_trascorso=115.6s | tempo_rimanente=184.4s | best_cost=8964.972
[progress][seq] epoca=810 | epoche_rimanenti_prima_stop=114 | tempo_trascorso=117.0s | tempo_rimanente=183.0s | best_cost=8964.972
[progress][seq] epoca=820 | epoche_rimanenti_prima_stop=104 | tempo_trascorso=118.5s | tempo_rimanente=181.5s | best_cost=8964.972
[progress][seq] epoca=830 | epoche_rimanenti_prima_stop=94 | tempo_trascorso=119.9s | tempo_rimanente=180.1s | best_cost=8964.972
[progress][seq] epoca=840 | epoche_rimanenti_prima_stop=84 | tempo_trascorso=121.4s | tempo_rimanente=178.6s | best_cost=8964.972
[progress][seq] epoca=850 | epoche_rimanenti_prima_stop=74 | tempo_trascorso=122.8s | tempo_rimanente=177.2s | best_cost=8964.972
[progress][seq] epoca=860 | epoche_rimanenti_prima_stop=64 | tempo_trascorso=124.3s | tempo_rimanente=175.7s | best_cost=8964.972
[progress][seq] epoca=870 | epoche_rimanenti_prima_stop=54 | tempo_trascorso=125.7s | tempo_rimanente=174.3s | best_cost=8964.972
[progress][seq] epoca=880 | epoche_rimanenti_prima_stop=44 | tempo_trascorso=127.2s | tempo_rimanente=172.8s | best_cost=8964.972
[progress][seq] epoca=890 | epoche_rimanenti_prima_stop=34 | tempo_trascorso=128.6s | tempo_rimanente=171.4s | best_cost=8964.972
[progress][seq] epoca=900 | epoche_rimanenti_prima_stop=24 | tempo_trascorso=130.0s | tempo_rimanente=170.0s | best_cost=8964.972
[progress][seq] epoca=910 | epoche_rimanenti_prima_stop=14 | tempo_trascorso=131.5s | tempo_rimanente=168.5s | best_cost=8964.972
[progress][seq] epoca=920 | epoche_rimanenti_prima_stop=4 | tempo_trascorso=132.9s | tempo_rimanente=167.1s | best_cost=8964.972
[progress][seq] epoca=924 | epoche_rimanenti_prima_stop=0 | tempo_trascorso=133.5s | tempo_rimanente=0.0s | best_cost=8964.972
Route 1:
Route 2: 930 637 404 718 126 474 496 24 709 771 658 841 156 323 220 217 456 655 742 522 624 726 31 418 675 332 937 974 25 460 116 145 89 619 121 638 410 312 578 136 840 424 393 512 626 239 463 238 599 163 500 791 884 982 558 947 540 892 155 452 434 48 871 18 14 298 614 956 788 73 880 769 212 825 333 297 164 254 623 642 546 499 85 875 727 409 44 822 925 555 358 286 147 968 571 375 904 739 57 612
Route 3: 318 882 62 758 924 971 279 261 37 778 548 573 38 66 222 248 846 877 648 264 228 400 705 113 789 807 289 58 35 392 407 513 963 148 814 479 175 883 427 592 890 446 379 761 198 111 632 109 542 733 61 277 319 355 694 42 911 909 860 149 902 745 194 9 787 247 712 372 382 557 989 678 812 888 927 484 653 419 827 253 724 591 28 684 636 367 173 805 206 510 53 564 364 903 337 260 951 899 855 280 847 179 115 199 889 535 354 886 864 438 519 316 693 391 747 501 580 97 986 390 689 992 383 783 1 439 962 351 600 459 396 536 607 913 251 122 604 488 394 169 193 466 978 848 283 964 691 816 608 707
Route 4: 965 441 929 273 706 858 168 894 344 616 999 526 838 673 784 679 984 987 414 750 49 371 857 997 829 300 310 659 634 492 695 943 768 743 429 759 315 196 477 278 430 776 165 490 793 329 738 190 565 811 20 232 577 450 350 436 78 98 859 464 235 281 515 495 711 359 335 914 205 906 241 353 602 796 462 131 233 688 34 322 133 158 295 345 583 566 478 687 621 69 554 597 662 303 744 293 983 287 939 661 246 129 979 870 493 91 842 757 839 21 255 640 966 831 719 183 187 497 518 959 311 549 225 81 357 448 308 227 296 19 338 469 656 138 47 710 16 628 609 498 107 572 120 221 223 468 83 68 767 262
Route 5: 760 347 420 423 472 195 603 76 43 879 128 534 256 259 672 435 30 590 50 465 80 922 680 340 562 363 531 309 795 885 32 141 824 876 575 570 785 946 362 953 777 933 817 467 395 863 556 849 762 833 100 891 242 895 988 177 343 560 218 317 56 265 631 388 385 447 140 243 704 77 172 641 681 106 275 422 201 306 219 820 584 294 327 527 137 408 845 377 366 352 325 605 157 935 63 229 127 611 896 666 124 587 480 17 834 214 244 700 176 213 585 285 532 504 663 601 26 832 331 117 2 3 270 444 381 725 451 502 60 529 458 593 702 200 804 125 398 813 972 99 96 843 949 754 520 302 729 432 402 866
Route 6: 146 185 550 766 533 622 598 773 618 867 714 59 130 537 226 112 926 594 552 934 320 276 71 411 271 445 657 660 167 701 779 647 174 912 652 373 588 910 72 774 27 378 528 503 487 84 119 202 643 844 753 763 941 836 620 806 567 752 874 685 370 216 87 397 936 797 770 505 651 250 716 192 786 449 696 908 249 180 668 482 865 869 485 159 455 291 635 284 413 728 944 748 95 104 798 852 453 809 697 507 105 568 654 90 342 203 33 720 64 307 582 326 917 101 161 142 166 426 921 940 837 143 746 823 54 153 547 677 713 330 721 258 181 443 569 170 800 431 65 29 457 92 975 644 135 893 732 669 514 349
Route 7: 6 898 692 321 516 539 401 736 576 699 23 13 230 931 524 272 209 667 683 976 257 928 551 489 437 94 731 682 389 442 506 144 954 132 872 991 475 8 304 51 957 938 70 268 801 79 772 208 630 990 40 932 916 646 861 1000 46 215 189 799 948 958 664 900 52 815 123 955 517 854 245 671 22 905 717 10 341 236 207 887 973 819 737 103 749 491 629 476 110 853 945 969 708 45 231 690 610 595 751 86 182 237 830 915 878 818 314 263 645 154 204 780 530 171 980 523 288 369 850 730 625 151 981 412 808 15 425 781 454 670 299 93 234 252 734 210 191 55 722 821 545 473 41 483 486 399 360 665 75 538
Route 8: 543 873 39 741 509 160 178 162 134 305 802 266 775 417 108 356 553 376 674 735 186 559 790 421 920 606 942 292 589 440 960 102 994 74 301 977 267 511 544 403 828 639 386 365 764 240 862 4 433 328 996 405 541 856 851 755 826 897 336 967 5 269 586 118 794 11 415 756 615 152 82 416 406 918 12 384 782 150 998 650 290 114 494 324 627 224 993 313 703 387 211 339 282 334 649 139 348 810 428 868 970 723 188 901 715 617 525 961 995 923 698 803 740 471 67 765 368 596 274 676 579 985 561 374 581 835 184 613 346 633 481 919 881 574 563 950 197 361 7 88 508 521 907 686 380 470 36 792 461 952
Cost: 8964.972
best cost: 8964.972
