CUDA Solver starting... (N=4000, K=8, M=256)
[progress][cuda] epoca=600 | epoche_rimanenti_prima_stop=280 | tempo_trascorso=6.9s | tempo_rimanente=293.1s | best_cost=8230.187
[progress][cuda] epoca=610 | epoche_rimanenti_prima_stop=270 | tempo_trascorso=7.0s | tempo_rimanente=293.0s | best_cost=8230.187
[progress][cuda] epoca=620 | epoche_rimanenti_prima_stop=260 | tempo_trascorso=7.1s | tempo_rimanente=292.9s | best_cost=8230.187
[progress][cuda] epoca=630 | epoche_rimanenti_prima_stop=250 | tempo_trascorso=7.2s | tempo_rimanente=292.8s | best_cost=8230.187
[progress][cuda] epoca=640 | epoche_rimanenti_prima_stop=240 | tempo_trascorso=7.4s | tempo_rimanente=292.6s | best_cost=8230.187
[progress][cuda] epoca=650 | epoche_rimanenti_prima_stop=230 | tempo_trascorso=7.5s | tempo_rimanente=292.5s | best_cost=8230.187
[progress][cuda] epoca=660 | epoche_rimanenti_prima_stop=220 | tempo_trascorso=7.6s | tempo_rimanente=292.4s | best_cost=8230.187
[progress][cuda] epoca=670 | epoche_rimanenti_prima_stop=210 | tempo_trascorso=7.7s | tempo_rimanente=292.3s | best_cost=8230.187
[progress][cuda] epoca=680 | epoche_rimanenti_prima_stop=200 | tempo_trascorso=7.8s | tempo_rimanente=292.2s | best_cost=8230.187
[progress][cuda] epoca=690 | epoche_rimanenti_prima_stop=190 | tempo_trascorso=7.9s | tempo_rimanente=292.1s | best_cost=8230.187
[progress][cuda] epoca=700 | epoche_rimanenti_prima_stop=180 | tempo_trascorso=8.0s | tempo_rimanente=292.0s | best_cost=8230.187
[progress][cuda] epoca=710 | epoche_rimanenti_prima_stop=170 | tempo_trascorso=8.1s | tempo_rimanente=291.9s | best_cost=8230.187
[progress][cuda] epoca=720 | epoche_rimanenti_prima_stop=160 | tempo_trascorso=8.3s | tempo_rimanente=291.7s | best_cost=8230.187
[progress][cuda] epoca=730 | epoche_rimanenti_prima_stop=150 | tempo_trascorso=8.4s | tempo_rimanente=291.6s | best_cost=8230.187
[progress][cuda] epoca=740 | epoche_rimanenti_prima_stop=140 | tempo_trascorso=8.5s | tempo_rimanente=291.5s | best_cost=8230.187
[progress][cuda] epoca=748 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=8.6s | tempo_rimanente=291.4s | best_cost=8178.079
[progress][cuda] epoca=750 | epoche_rimanenti_prima_stop=498 | tempo_trascorso=8.6s | tempo_rimanente=291.4s | best_cost=8178.079
[progress][cuda] epoca=760 | epoche_rimanenti_prima_stop=488 | tempo_trascorso=8.7s | tempo_rimanente=291.3s | best_cost=8178.079
[progress][cuda] epoca=770 | epoche_rimanenti_prima_stop=478 | tempo_trascorso=8.8s | tempo_rimanente=291.2s | best_cost=8178.079
[progress][cuda] epoca=780 | epoche_rimanenti_prima_stop=468 | tempo_trascorso=8.9s | tempo_rimanente=291.1s | best_cost=8178.079
[progress][cuda] epoca=790 | epoche_rimanenti_prima_stop=458 | tempo_trascorso=9.1s | tempo_rimanente=290.9s | best_cost=8178.079
[progress][cuda] epoca=800 | epoche_rimanenti_prima_stop=448 | tempo_trascorso=9.2s | tempo_rimanente=290.8s | best_cost=8178.079
[progress][cuda] epoca=810 | epoche_rimanenti_prima_stop=438 | tempo_trascorso=9.3s | tempo_rimanente=290.7s | best_cost=8178.079
[progress][cuda] epoca=820 | epoche_rimanenti_prima_stop=428 | tempo_trascorso=9.4s | tempo_rimanente=290.6s | best_cost=8178.079
[progress][cuda] epoca=830 | epoche_rimanenti_prima_stop=418 | tempo_trascorso=9.5s | tempo_rimanente=290.5s | best_cost=8178.079
[progress][cuda] epoca=840 | epoche_rimanenti_prima_stop=408 | tempo_trascorso=9.6s | tempo_rimanente=290.4s | best_cost=8178.079
[progress][cuda] epoca=850 | epoche_rimanenti_prima_stop=398 | tempo_trascorso=9.7s | tempo_rimanente=290.3s | best_cost=8178.079
[progress][cuda] epoca=860 | epoche_rimanenti_prima_stop=388 | tempo_trascorso=9.8s | tempo_rimanente=290.2s | best_cost=8178.079
[progress][cuda] epoca=870 | epoche_rimanenti_prima_stop=378 | tempo_trascorso=9.9s | tempo_rimanente=290.1s | best_cost=8178.079
[progress][cuda] epoca=880 | epoche_rimanenti_prima_stop=368 | tempo_trascorso=10.1s | tempo_rimanente=289.9s | best_cost=8178.079
[progress][cuda] epoca=890 | epoche_rimanenti_prima_stop=358 | tempo_trascorso=10.2s | tempo_rimanente=289.8s | best_cost=8178.079
[progress][cuda] epoca=900 | epoche_rimanenti_prima_stop=348 | tempo_trascorso=10.3s | tempo_rimanente=289.7s | best_cost=8178.079
[progress][cuda] epoca=910 | epoche_rimanenti_prima_stop=338 | tempo_trascorso=10.4s | tempo_rimanente=289.6s | best_cost=8178.079
[progress][cuda] epoca=920 | epoche_rimanenti_prima_stop=328 | tempo_trascorso=10.5s | tempo_rimanente=289.5s | best_cost=8178.079
[progress][cuda] epoca=930 | epoche_rimanenti_prima_stop=318 | tempo_trascorso=10.6s | tempo_rimanente=289.4s | best_cost=8178.079
[progress][cuda] epoca=940 | epoche_rimanenti_prima_stop=308 | tempo_trascorso=10.7s | tempo_rimanente=289.3s | best_cost=8178.079
[progress][cuda] epoca=950 | epoche_rimanenti_prima_stop=298 | tempo_trascorso=10.8s | tempo_rimanente=289.2s | best_cost=8178.079
[progress][cuda] epoca=960 | epoche_rimanenti_prima_stop=288 | tempo_trascorso=11.0s | tempo_rimanente=289.0s | best_cost=8178.079
[progress][cuda] epoca=970 | epoche_rimanenti_prima_stop=278 | tempo_trascorso=11.1s | tempo_rimanente=288.9s | best_cost=8178.079
[progress][cuda] epoca=980 | epoche_rimanenti_prima_stop=268 | tempo_trascorso=11.2s | tempo_rimanente=288.8s | best_cost=8178.079
[progress][cuda] epoca=990 | epoche_rimanenti_prima_stop=258 | tempo_trascorso=11.3s | tempo_rimanente=288.7s | best_cost=8178.079
[progress][cuda] epoca=1000 | epoche_rimanenti_prima_stop=248 | tempo_trascorso=11.4s | tempo_rimanente=288.6s | best_cost=8178.079
[progress][cuda] epoca=1004 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=11.5s | tempo_rimanente=288.5s | best_cost=8153.073
[progress][cuda] epoca=1010 | epoche_rimanenti_prima_stop=494 | tempo_trascorso=11.5s | tempo_rimanente=288.5s | best_cost=8153.073
[progress][cuda] epoca=1020 | epoche_rimanenti_prima_stop=484 | tempo_trascorso=11.6s | tempo_rimanente=288.4s | best_cost=8153.073
[progress][cuda] epoca=1030 | epoche_rimanenti_prima_stop=474 | tempo_trascorso=11.7s | tempo_rimanente=288.3s | best_cost=8153.073
[progress][cuda] epoca=1040 | epoche_rimanenti_prima_stop=464 | tempo_trascorso=11.9s | tempo_rimanente=288.1s | best_cost=8153.073
[progress][cuda] epoca=1050 | epoche_rimanenti_prima_stop=454 | tempo_trascorso=12.0s | tempo_rimanente=288.0s | best_cost=8153.073
[progress][cuda] epoca=1060 | epoche_rimanenti_prima_stop=444 | tempo_trascorso=12.1s | tempo_rimanente=287.9s | best_cost=8153.073
[progress][cuda] epoca=1070 | epoche_rimanenti_prima_stop=434 | tempo_trascorso=12.2s | tempo_rimanente=287.8s | best_cost=8153.073
[progress][cuda] epoca=1080 | epoche_rimanenti_prima_stop=424 | tempo_trascorso=12.3s | tempo_rimanente=287.7s | best_cost=8153.073
[progress][cuda] epoca=1090 | epoche_rimanenti_prima_stop=414 | tempo_trascorso=12.4s | tempo_rimanente=287.6s | best_cost=8153.073
[progress][cuda] epoca=1100 | epoche_rimanenti_prima_stop=404 | tempo_trascorso=12.5s | tempo_rimanente=287.5s | best_cost=8153.073
[progress][cuda] epoca=1110 | epoche_rimanenti_prima_stop=394 | tempo_trascorso=12.6s | tempo_rimanente=287.4s | best_cost=8153.073
[progress][cuda] epoca=1120 | epoche_rimanenti_prima_stop=384 | tempo_trascorso=12.7s | tempo_rimanente=287.3s | best_cost=8153.073
[progress][cuda] epoca=1130 | epoche_rimanenti_prima_stop=374 | tempo_trascorso=12.9s | tempo_rimanente=287.1s | best_cost=8153.073
[progress][cuda] epoca=1140 | epoche_rimanenti_prima_stop=364 | tempo_trascorso=13.0s | tempo_rimanente=287.0s | best_cost=8153.073
[progress][cuda] epoca=1150 | epoche_rimanenti_prima_stop=354 | tempo_trascorso=13.1s | tempo_rimanente=286.9s | best_cost=8153.073
[progress][cuda] epoca=1160 | epoche_rimanenti_prima_stop=344 | tempo_trascorso=13.2s | tempo_rimanente=286.8s | best_cost=8153.073
[progress][cuda] epoca=1170 | epoche_rimanenti_prima_stop=334 | tempo_trascorso=13.3s | tempo_rimanente=286.7s | best_cost=8153.073
[progress][cuda] epoca=1180 | epoche_rimanenti_prima_stop=324 | tempo_trascorso=13.4s | tempo_rimanente=286.6s | best_cost=8153.073
[progress][cuda] epoca=1190 | epoche_rimanenti_prima_stop=314 | tempo_trascorso=13.5s | tempo_rimanente=286.5s | best_cost=8153.073
[progress][cuda] epoca=1200 | epoche_rimanenti_prima_stop=304 | tempo_trascorso=13.6s | tempo_rimanente=286.4s | best_cost=8153.073
[progress][cuda] epoca=1210 | epoche_rimanenti_prima_stop=294 | tempo_trascorso=13.8s | tempo_rimanente=286.2s | best_cost=8153.073
[progress][cuda] epoca=1220 | epoche_rimanenti_prima_stop=284 | tempo_trascorso=13.9s | tempo_rimanente=286.1s | best_cost=8153.073
[progress][cuda] epoca=1230 | epoche_rimanenti_prima_stop=274 | tempo_trascorso=14.0s | tempo_rimanente=286.0s | best_cost=8153.073
[progress][cuda] epoca=1240 | epoche_rimanenti_prima_stop=264 | tempo_trascorso=14.1s | tempo_rimanente=285.9s | best_cost=8153.073
[progress][cuda] epoca=1250 | epoche_rimanenti_prima_stop=254 | tempo_trascorso=14.2s | tempo_rimanente=285.8s | best_cost=8153.073
[progress][cuda] epoca=1260 | epoche_rimanenti_prima_stop=244 | tempo_trascorso=14.3s | tempo_rimanente=285.7s | best_cost=8153.073
[progress][cuda] epoca=1270 | epoche_rimanenti_prima_stop=234 | tempo_trascorso=14.4s | tempo_rimanente=285.6s | best_cost=8153.073
[progress][cuda] epoca=1280 | epoche_rimanenti_prima_stop=224 | tempo_trascorso=14.5s | tempo_rimanente=285.5s | best_cost=8153.073
